"","codmpio","Municipio","Depto","subregion","CTEP","nbi","iga_total","desemp_fisc","GAI","conflict_index","acciones_belicas","secuestro","ataques","ase_desap","coca","mineria_ilegal","pob_censo2018_2023","pob_rural_censo2018_2023","part_senado_urbano","part_camara_urbano","part_senado_rural","part_camara_rural","secciones_rurales","RAP"
"21",73024,"Alpujarra","Tolima","Sur Del Tolima",0,38.1944770812988,71.8558686078351,64.0615331003273,0,-0.541926786344714,2,16,0,13,0,0,3355,1854,53.3305921052632,53.3717105263158,63.3671083398285,63.4450506625097,1,"RAP (E) Central"
"22",15087,"Belén","Boyacá","Altiplano Cundiboyacense",0,34.7217483520508,62.0234120501464,61.419798578529,0,-0.905331920455545,2,2,0,8,0,0,5599,2077,50.0604047115675,50.0906070673513,53.551912568306,54.0983606557377,4,"RAP (E) Central"
"23",15090,"Berbeo","Boyacá","Altiplano Cundiboyacense",0,55.937442779541,52.7046346232515,56.7866578659082,0,-0.853486772576573,1,0,0,5,0,0,1212,881,50.3369272237197,50.4043126684636,0,0,1,"RAP (E) Central"
"24",13160,"Cantagallo","Bolívar","Magdalena Medio",1,71.8889083862305,48.4362151140913,67.4972369053042,4,0.117949101322016,44,10,0,99,1258.48,0,5922,2718,56.034293251264,55.9683446911409,47.7619799894681,47.6566614007372,2,"RAP Caribe"
"25",50245,"El Calvario","Meta","Piedemonte Llanero",0,20.9481029510498,59.2970186077039,60.7017330943103,0,0.126889792236542,41,10,0,11,0,0,1110,768,48.9556135770235,48.9556135770235,49.3062966915688,49.3062966915688,2,"RAP (E) Central"
"26",50270,"El Dorado","Meta","Ariari Guayabero",0,41.5876197814941,56.025315409753,58.9982167094165,0,2.04755022228556,36,22,0,124,0,0,2782,1770,59.8754448398576,60.1423487544484,59.4594594594595,59.4594594594595,2,"RAP (E) Central"
"27",15187,"Chivatá","Boyacá","Altiplano Cundiboyacense",0,38.1131935119629,62.237372636742,60.5706007544932,0,-0.975013964150815,0,0,0,2,0,0,1897,1511,55.7670346402741,55.9192995812714,0,0,1,"RAP (E) Central"
"28",15092,"Betéitiva","Boyacá","Altiplano Cundiboyacense",0,53.7738571166992,62.6126125373308,56.9855977294846,0,-0.994964516647854,NA,NA,NA,NA,0,0,1509,1206,47.7749790092359,47.7749790092359,54.9738219895288,54.9738219895288,1,"RAP (E) Central"
"29",15097,"Boavita","Boyacá","Altiplano Cundiboyacense",0,48.0938301086426,56.4556056131146,56.0888786214597,0,-0.990745372826977,0,0,0,1,0,0,3636,1880,41.3645575320874,41.3645575320874,44.4927536231884,44.4927536231884,2,"RAP (E) Central"
"30",25483,"Nariño","Cundinamarca","Suroccidente De Cundinamarca",0,46.6212005615234,66.4508962611296,60.1449048504698,0,-0.684562805064001,0,4,0,2,0,0,2100,529,45.5269143290371,46.0197119029568,0,0,2,"RAP (E) Central"
"31",68051,"Aratoca","Santander","Provincia De Guanenta",0,52.1018867492676,64.3060581501419,63.8295079642158,0,-0.903143043166738,13,3,0,13,0,0,6322,4163,50.2120569524387,50.1817631020903,0,0,5,"RAP Gran Santander"
"32",68324,"Guavatá","Santander","Provincia De Velez",0,28.8011035919189,60.8979289455604,61.6515032596596,0,-0.516231720902358,5,12,0,14,0,0,3396,2453,48.8839285714286,48.8392857142857,0,0,2,"RAP Gran Santander"
"33",15104,"Boyacá","Boyacá","Altiplano Cundiboyacense",0,47.2657737731934,59.3116643579998,65.9716575258968,0,-0.984820164601621,0,0,0,1,0,0,3724,3012,38.5263157894737,38.5263157894737,0,0,1,"RAP (E) Central"
"34",25099,"Bojacá","Cundinamarca","Altiplano Cundiboyacense",0,25.8230934143066,72.4004135499506,67.1994444972542,0,-0.939494037941285,0,1,0,11,0,0,8740,1522,60.0891677675033,60.0726552179657,0,0,3,"RAP (E) Central"
"35",15106,"Briceño","Boyacá","Altiplano Cundiboyacense",0,39.8971633911133,61.4408335540935,60.8749165775893,0,-0.90328090398183,7,0,0,2,0,0,1606,1204,50.0232450023245,50.0232450023245,0,0,2,"RAP (E) Central"
"36",25120,"Cabrera","Cundinamarca","Sumapaz",0,38.619270324707,46.3582191572764,57.5245512363532,0,0.534639756303953,91,6,3,34,0,0,3749,2602,38.0610412926391,38.0610412926391,30.1470588235294,30.1470588235294,4,"RAP (E) Central"
"37",63001,"Armenia","Quindío","Eje Cafetero",0,14.9960775375366,76.3244486410278,67.8221517666178,0,-1.0559799034498,4,18,0,161,0,0,251740,6281,52.4509803921569,52.6050875264809,54.9186128803963,55.2370842179759,5,"RAP Eje Cafetero"
